date,AAPL,AMZN,GOOG,META,MSFT,NVDA,UNH
2022-10-03,140.7377966223,115.88,99.0552088571,138.1953253055,236.2020282603,12.5003229491,500.3798415365
2022-10-04,144.3439247913,121.09,102.1575421859,139.8603292249,244.1885884914,13.1547116585,507.8150214286
2022-10-05,144.6403188874,120.95,101.9680105677,138.5642183894,244.5025564612,13.1966724612,511.6005568828
2022-10-06,143.6819779767,120.3,101.9879612644,138.6539491396,242.1379851889,13.1177461894,503.8935949581
2022-10-07,138.4061630665,114.56,99.3245432619,133.0507622972,229.8245538743,12.064729854,490.032711295
2022-10-10,138.7321965722,113.67,98.466663306,133.3897451311,224.9286158456,11.6591087609,484.2185170974
2022-10-11,137.309504911,112.21,97.8082903166,128.1554513727,221.1610002084,11.5751871554,485.140634708
2022-10-12,136.677197506,112.9,98.0576740247,127.1185627044,221.4945911762,11.4892674165,485.2862322255
2022-10-13,141.2713059953,112.53,99.4641981384,129.9002159588,229.8245538743,11.9488381131,494.9442008843
2022-10-14,136.7167167188,106.9,96.9404350125,126.3807765365,224.2516224108,11.2165221987,498.0696942593
2022-10-17,140.6982774095,113.79,100.5315604091,133.6389972148,233.0525370635,11.8769053084,506.5628827783
2022-10-18,142.0221710387,116.36,101.1400566569,132.4027068795,234.0042524719,11.9558315803,506.8831973168
2022-10-19,142.1308488739,115.07,100.0427683412,132.8314204636,232.0223296627,12.0397531857,505.0486685966
2022-10-20,141.6664981234,115.25,100.282176701,131.1365062942,231.6985501939,12.1826197284,505.5922326619
2022-10-21,145.499861766,119.32,101.2298347918,129.6210536251,237.55601513,12.4543658795,518.0650866584
2022-10-24,147.6536588642,119.82,102.716161692,129.3319212079,242.5893141454,12.5872417548,525.7041030749
2022-10-25,150.5089219898,120.6,104.6713299635,137.0986161371,245.9350353233,13.2486239313,524.3646059142
2022-10-26,147.5548608322,115.66,94.586252808,129.4316220414,226.9595961501,12.8839645742,527.2280237578
2022-10-27,143.059550375,110.96,92.3717254801,97.6469963237,222.4757410818,13.1637032591,525.8982330982
2022-10-28,153.8680550787,103.41,96.341914113,98.9032268257,231.4238282203,13.8210891687,535.0611701976
2022-10-31,151.49690231,102.44,94.4266472348,92.8812964827,227.7543275736,13.48440368,538.856412153
2022-11-01,148.8392352485,96.79,90.276902332,94.9151934859,223.8689739477,13.5303607497,531.2465152399
2022-11-02,143.2867858486,92.12,86.8553578569,90.2691346451,215.9510942099,13.2066631286,527.480392788
2022-11-03,137.210706879,89.3,83.2841831569,88.6440110592,210.2113672625,13.4084746084,527.655109809
2022-11-04,136.9439521925,90.98,86.4862699689,90.5183867289,217.2167775881,14.1427886563,522.3747731755
2022-11-07,137.478348306,90.53,88.4314628921,96.430646155,223.574628976,14.2876533324,529.0237264732
2022-11-08,138.0523293168,89.98,88.6908219485,96.1813940713,224.5557788815,14.5883724187,536.8180469084
2022-11-09,133.4703774548,86.14,87.1845443516,101.166435746,220.2779652934,13.7631432982,524.7916919655
2022-11-10,145.3458466434,96.63,93.9378551669,111.5353224293,238.3998040487,15.7353010269,528.1986738742
2022-11-11,148.146478127,100.79,96.4915443379,112.6818820145,242.4519531586,16.3117625312,506.7570128016
2022-11-14,146.741214273,98.49,95.7932699552,113.8782920164,236.9967596838,16.2797923958,498.6714973315
2022-11-15,148.482949754,98.94,98.4766386544,116.7297358543,237.4088426441,16.6504461533,488.2467150807
2022-11-16,147.2459217135,97.12,98.7459730591,112.8912537648,237.8405486026,15.895151704,496.5069475718
2022-11-17,149.155893008,94.85,98.2571809912,111.1165789286,237.7913531058,15.6623691555,500.1857115132
2022-11-18,149.7199777945,94.14,97.5589066085,111.7147839296,237.3387545357,15.3946192713,514.444561724
2022-11-21,146.4740162163,92.46,95.5937629887,109.5313356761,238.1553997818,15.302705132,502.0105337321
2022-11-22,148.6214968945,93.2,97.0900652373,111.1066088453,241.0874513883,16.0230322457,507.7373694192
2022-11-23,149.5022608594,94.13,98.5763921376,111.9042155132,243.5964217227,16.5035833437,514.1630731902
2022-11-25,146.5729784595,93.41,97.3593996421,111.0766985952,243.5078698285,16.2548157275,521.8409156114
2022-11-28,142.7233471976,93.95,96.0127276183,108.4545666744,237.8700659006,15.8122291653,516.6479374883
2022-11-29,139.7049987788,92.42,95.2047244041,109.1325323421,236.4630746935,15.6244046197,512.5032614911
2022-11-30,146.4938086649,96.54,101.1999087468,117.746684356,251.0347808318,16.9112025703,531.6833077923
2022-12-01,146.770902946,95.5,101.0303278253,120.0796838597,250.592021361,17.12305478,521.1517540287
2022-12-02,146.2760917298,94.13,100.5814371507,123.1205592813,250.9167116396,16.8642353351,522.0253391335
2022-12-05,145.1083372596,91.01,99.6238037116,122.0637304462,246.1742657526,16.5984207701,520.934865432
2022-12-06,141.4269418112,88.25,97.0701145407,113.7785911829,241.1760032824,15.9758550784,525.1020327915
2022-12-07,139.4773856194,88.46,94.9154393027,113.5891595993,240.4380708311,16.1087623609,528.5973904599
2022-12-08,141.1696399787,90.35,93.7183975038,114.9849712682,243.4193179344,17.1570310778,533.4753129999
2022-12-09,140.6847249869,89.09,92.8405668513,115.5532660191,241.471176263,16.9891481946,524.9851963235
2022-12-12,142.9905452543,90.55,93.3293589192,114.3668261005,248.4470977025,17.5227759304,531.4696202989
2022-12-13,143.960375238,92.49,95.6137136854,119.7905514426,252.7861405162,18.0594015748,524.0310318346
2022-12-14,141.7238285409,91.58,95.0750448759,121.2262434449,253.0813134967,17.6616790302,524.1673410473
2022-12-15,135.0834620196,88.45,90.9751767147,115.8025181028,245.0034129298,16.9401823537,513.7688953931
2022-12-16,133.1141133792,87.86,90.6360148717,119.0727054414,240.7529220104,16.559447958,509.8938192037
2022-12-19,130.9963213739,84.92,88.9302303083,114.1375141835,236.5811438857,16.2426689463,509.7964554803
2022-12-20,130.9270478036,85.19,89.4090470279,116.7397059377,237.909422298,16.0737867602,506.4958252586
2022-12-21,134.0443584656,86.77,90.0275186239,119.401718192,240.4971054272,16.4894967567,513.6325861804
2022-12-22,130.8577742334,83.79,88.0424243075,116.7696161877,234.3575074325,15.3283068148,513.1944494254
2022-12-23,130.4916139334,85.25,89.5886032977,117.6868638559,234.8888187974,15.1953995323,517.3031985509
2022-12-27,128.6806048821,83.04,87.7132378128,116.5303341873,233.1472982123,14.1111559118,517.9652718697
2022-12-28,124.7320113769,81.82,86.2468616092,115.2741036853,230.7563970701,14.0262151673,514.518596063
2022-12-29,128.2649634605,84.18,88.7307233418,119.9002223594,237.1321334493,14.592819898,515.9108973069
2022-12-30,128.5816426389,84.0,88.5112656787,119.9799830262,235.9612806266,14.6038122297,516.202988477
2023-01-03,123.7720776175,85.82,89.4788744661,124.3668196999,235.7251422422,14.3050206697,504.967214802
2023-01-04,125.0486905553,85.14,88.491314982,126.9889516208,225.4137661227,14.7387181179,491.1999843197
2023-01-05,123.7225964959,83.12,86.5560974072,126.5602380368,218.7330176637,14.2550555259,477.0432989441
2023-01-06,128.2748596849,86.08,87.9426708242,129.6310237084,221.3108616935,14.8486414343,477.0822444334
2023-01-09,128.799359574,87.36,88.581093117,129.0826691242,223.4656244513,15.6171053459,477.1406626675
2023-01-10,129.3733405848,89.87,89.0200084432,132.5921384632,225.167788639,15.8979094541,473.1876954993
2023-01-11,132.1046984982,95.09,92.0325636371,132.4924376297,231.9764453896,15.9898453187,480.3926110275
2023-01-12,132.0255287036,95.27,91.6834264457,136.3010094691,234.6723586117,16.4994897854,482.6027675476
2023-01-13,133.3615189873,98.12,92.5712324466,136.5702017196,235.3807737649,16.8872193013,476.663580423
2023-01-17,134.5292734575,96.05,91.9328101538,134.955048217,236.4827528922,17.6896595107,472.2919492444
2023-01-18,133.8068490818,95.46,91.5537469175,132.6220487132,232.015801787,17.364886076,463.6849961
2023-01-19,133.8662264278,93.68,93.6784961105,135.7426848016,228.198231239,16.7533127159,471.5909304363
2023-01-20,136.439244752,97.25,99.0352581605,138.9530516401,236.3548446006,17.8265640047,473.8887143074
2023-01-23,139.6456214329,97.52,100.960500387,142.8413841463,238.6768720474,19.1796200988,473.0027044249
2023-01-24,141.0508852869,96.32,98.9654307222,142.7117730628,238.1455606824,19.2515699059,478.6400640071
2023-01-25,140.3878382572,97.18,96.4915443379,141.0766793935,236.7385694753,19.3095294727,479.5163375173
2023-01-26,142.4660453652,99.22,98.9155539806,146.8593277361,244.0096638954,19.7881955503,479.4968647726
2023-01-27,144.4156015569,102.24,100.4617329708,151.2860447432,244.167089485,20.3508030695,473.236377361
2023-01-30,141.5160078301,100.55,97.7085368334,146.6200457357,238.8047803389,19.1486417097,472.9832316802
2023-01-31,142.7926207678,103.13,99.6238037116,148.5243316554,243.8227210078,19.5233802881,486.0299706097
2023-02-01,143.9207903408,105.15,101.1799580502,152.6619162454,248.683236087,20.9284001318,483.8977050682
2023-02-02,149.2548552513,112.91,108.5317897649,188.2052633859,260.3425688175,21.6938661348,458.4176186665
2023-02-03,152.8966658024,103.39,104.9606150649,185.9719647156,254.1931317233,21.0852906833,459.5762469744
2023-02-06,150.1554116647,102.18,103.2149291082,185.5033707982,252.6385540259,21.0742983517,462.7113588664
2023-02-07,153.0451091673,102.11,107.7736632923,191.0467371405,263.2549422252,22.1575426692,464.3081239294
2023-02-08,150.3434399269,100.05,99.7534832398,182.8812388773,262.4382969791,22.1895203613,470.4809839901
2023-02-09,149.3043363729,98.24,95.2246751007,177.3877229519,259.3783370811,22.3214283409,472.9248134462
2023-02-10,149.6704966729,97.61,94.6261542013,173.6290015291,258.8667039149,21.2501756579,481.220202676
2023-02-13,152.4853050336,99.54,94.7658090778,178.8932055376,266.9544435811,21.772811062,482.2912036329
2023-02-14,151.8410707257,99.7,94.7159323362,178.9430559544,267.7907670259,22.9549863643,479.8376378044
2023-02-15,153.9521769962,101.16,96.8606322259,176.6299966173,265.6556824668,22.748130669,478.2992909754
2023-02-16,152.346546875,98.15,95.5438862471,171.9241172764,258.5832361454,21.9866618775,474.5021057646
2023-02-17,151.1968364178,97.2,94.3568197966,172.3628009438,254.5488839202,21.3730899116,485.922870514
2023-02-21,147.1629385205,94.58,91.8230813223,171.5651942758,249.2322192518,20.6406009035,478.3577092094
2023-02-22,147.5891242935,95.79,91.5736976142,170.6080662743,248.0880019947,20.7395318882,476.0015071042
2023-02-23,148.0747778487,95.82,90.8454971865,171.5253139424,251.3036470446,23.6475032573,478.7276913581
2023-02-24,145.4086389436,93.5,89.1297372748,169.8802501898,245.8291593063,23.2697667702,471.5617213193
2023-02-27,146.607905886,93.76,89.8778883991,169.0327931051,246.7563698422,23.4846168886,470.5783477134
2023-02-28,146.1024297368,94.23,90.0773953656,174.4166381137,246.0264381437,23.1998155689,463.3929049299
2023-03-01,144.0210573574,92.17,90.2868776804,172.9011854446,242.9192964544,22.6821766791,462.6918861218
2023-03-02,144.61573518,92.13,92.0824403787,174.0078646964,247.6934443199,23.2977472508,465.1065064609
2023-03-03,149.690319267,94.9,93.7882249421,184.6957940469,251.8165720219,23.8733457073,465.9438344818
2023-03-06,152.4654824395,93.75,95.3443792806,184.3468411297,253.3750748375,23.537579941,468.1053091402
2023-03-07,150.2552631985,93.55,93.9378551669,183.9580078791,250.6920826486,23.2757625875,461.3872122288
2023-03-08,151.5139979232,93.92,94.4166718865,184.4166317131,250.2482052645,24.1682933325,458.1936821028
2023-03-09,149.254222197,92.25,92.43157757,181.1464443746,248.8869812863,23.4236848162,452.653686244
2023-03-10,147.1827611146,90.73,90.7856450966,178.9729662044,245.2077309684,22.952932318,449.8009291497
2023-03-13,149.1352866325,92.43,91.4340427376,180.35880779,250.4652119856,22.9539317925,453.0743050163
2023-03-14,151.2364816059,94.88,94.0176579535,193.4395571443,257.2417400509,24.0503553393,453.9537194282
2023-03-15,151.6329334877,96.2,96.3119880681,197.1583982336,261.8284730209,24.2152686349,454.7842774839
2023-03-16,154.4675644425,100.04,100.8208455105,204.3169180785,272.442074474,25.5275786777,461.2235452333
2023-03-17,153.6251041937,98.95,102.2074189275,195.0248003969,275.6281276983,25.7114819891,458.76118488
2023-03-20,156.0038154845,97.71,101.6787254664,197.2182187337,268.5260895512,25.8863900299,466.0505532276
2023-03-21,157.8671393289,100.61,105.579086661,201.5552049907,270.0550005412,26.1852329109,469.118732398
2023-03-22,156.4300012574,98.7,103.9630802325,199.2122354036,268.5852732024,26.4540915564,464.6434901685
2023-03-23,157.5202439323,98.71,105.9980512906,203.6688626608,273.8822099871,27.1767116333,459.1618070009
2023-03-24,158.8285351422,98.13,105.7985443242,205.3936870802,276.7526170715,26.7649281317,465.102739917
2023-03-27,156.8760096244,98.04,102.805939827,202.2331706585,272.6196254276,26.5170584511,470.8775612218
2023-03-28,156.2515979106,97.24,101.1101306119,200.079632655,271.4852721125,26.3961220343,461.7707364229
2023-03-29,159.3439225886,100.25,101.6487994214,204.7356615791,276.6934334203,26.969820408,455.9177449481
2023-03-30,160.9198188187,102.0,101.0702292186,207.2182123331,280.1852688426,27.3686107409,459.3083760696
