date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2022-12-02,146.4372171393,94.13,51.8752464633,316.15,100.5814371507,128.2028155406,369.3466444844,123.1205592813,251.4211340259,16.8642353351,143.3069122024,194.86,522.0253391335,214.709557668,103.5547520467
2022-12-05,145.2681763692,91.01,50.9006671289,310.57,99.6238037116,124.6079008402,363.9556578654,122.0637304462,246.6691543145,16.5984207701,141.8606170922,182.45,520.934865432,210.783507684,100.7175064281
2022-12-06,141.5827258059,88.25,50.438317484,307.78,97.0701145407,124.8165766276,363.21649151,113.7785911829,241.6608437473,15.9758550784,142.041403981,179.82,525.1020327915,206.2458619738,97.9179650702
2022-12-07,139.6310221474,88.46,49.736159932,305.82,94.9154393027,124.73120926,366.5969456422,113.5891595993,240.9214278171,16.1087623609,142.9548535243,174.04,528.5973904599,204.9930771799,97.7011655711
2022-12-08,141.3251405515,90.35,50.9428733205,305.99,93.7183975038,126.0401755625,366.4195457169,114.9849712682,243.9086681751,17.1570310778,143.9824842605,173.44,533.4753129999,206.2655908682,98.4269725898
2022-12-09,140.8396914182,89.09,52.2512652617,306.39,92.8405668513,125.3572366221,355.7755501986,115.5532660191,241.9566101194,16.9891481946,143.6018802841,179.05,524.9851963235,205.8710129804,97.5974788541
2022-12-12,143.1480515828,90.55,53.3937101311,311.45,93.3293589192,127.3017155497,361.9451253787,114.3668261005,248.9465553795,17.5227759304,145.0767206926,167.82,531.4696202989,211.6811723788,100.0011254745
2022-12-13,144.1189498495,92.49,54.7759629076,312.33,95.6137136854,127.1784071299,353.4792067211,119.7905514426,253.2943210491,18.0594015748,144.8578734061,160.95,524.0310318346,210.1521830634,101.0945490352
2022-12-14,141.879939561,91.58,55.1021016612,309.29,95.0750448759,126.5428945048,358.2492936015,121.2262434449,253.5900874212,17.6616790302,145.4287793707,156.8,524.1673410473,210.4283875849,100.3498898861
2022-12-15,135.2322585719,88.45,53.5251248642,301.91,90.9751767147,123.4032724314,354.8097061608,115.8025181028,245.4959477053,16.9401823537,143.7826671729,157.67,513.7688953931,205.0917216519,99.3884312379
2022-12-16,133.260740663,87.86,53.3246454538,300.0,90.6360148717,122.6349661234,354.6717284412,119.0727054414,241.2369119473,16.559447958,143.1451555125,150.23,509.8938192037,204.0855480379,98.6909024148
2022-12-19,131.1406158766,84.92,53.1634945402,300.03,88.9302303083,123.3653313792,352.6119181973,114.1375141835,237.0567472219,16.2426689463,143.1070951148,149.87,509.7964554803,202.0436074683,99.1339274781
