date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2024-03-25,170.2336060419,179.71,134.2886911459,409.92,150.777389917,191.4669217628,769.4489094863,502.0509050609,421.3611266391,94.9828619622,157.2989649852,172.63,482.0848937453,279.5952599955,111.910041356
2024-03-26,169.0977189427,178.3,132.2926126266,411.57,151.3260340748,192.361259607,771.2005069728,494.9346413873,420.155415616,92.5423536987,157.6524678718,177.67,488.4646703708,278.9887626853,111.0705940331
2024-03-27,172.6847308347,179.83,131.0248195999,416.93,151.5654424346,196.0860293097,774.464847743,492.9085522909,419.9361954299,90.2318192468,159.6752899447,179.83,489.2484998473,277.4178352261,112.2223938482
2024-03-28,170.861333123,180.38,131.6885231594,420.52,151.884653581,196.8526046047,774.2458980572,484.6445041538,419.2287121023,90.3377978933,159.3217870582,175.79,490.8360025846,277.4774906992,113.4620428018
2024-04-01,169.4165644442,180.97,134.1575401432,420.2,156.1142012703,195.5160117826,756.9190161029,490.4033879402,423.0650653577,90.3447964831,157.6819264456,175.22,485.8750565306,276.6820843908,114.1941189554
2024-04-02,168.2308577355,180.69,133.01493671,418.92,155.4857543259,195.4373886754,760.312736233,496.4117900881,419.9461599838,89.433980003,157.672106921,166.63,454.5615650376,276.8411656525,116.4293914779
2024-04-03,169.0379354112,182.41,135.4442109657,420.24,155.9845217421,194.8870269251,772.2853031434,505.7637382819,418.9596691468,88.94607831,153.3318770363,168.38,456.1490677749,275.3696639819,116.4489135087
2024-04-04,168.2109298916,180.0,130.902610711,415.32,151.5654424346,193.4128436655,764.4130667127,509.9356852883,416.3987787919,85.8876945418,152.6445103125,171.11,451.8231228158,272.4266606406,116.8588761547
2024-04-05,168.9681879577,185.07,133.0815057796,418.62,153.5605120994,195.1922615985,780.4660595859,526.3240512799,424.0116979791,87.990270895,153.2827794131,164.9,452.1803109317,275.5486304013,118.4694436928
2024-04-08,167.8422647805,185.19,132.7506475681,415.97,155.7550887307,196.2104840824,773.5790967414,518.2496370976,423.0849944655,87.1154471627,153.2238622654,172.98,452.4382801265,276.1650702903,117.6690404314
2024-04-09,169.057863255,185.67,132.5499467911,414.69,157.7501583955,194.895691943,753.6248185573,515.9041644984,424.7690040763,85.3368055401,153.8326727922,176.88,456.1292239907,275.1310420893,118.2839844005
2024-04-10,167.1746820117,185.95,131.3864784257,409.11,157.2713416759,193.2349018722,758.3421890607,518.8285196966,421.7597087955,87.0214660989,154.4022052205,171.76,446.5347543222,272.9039044257,119.2796079695
2024-04-11,174.4084893273,189.05,137.356829756,407.61,160.3936257013,193.1953592515,755.9635992921,522.1521042735,426.4131554715,90.5977455166,153.0274717729,174.6,438.2698181962,274.0970138884,118.8794063388
2024-04-12,175.9130415376,186.13,133.5425214257,403.26,158.7975699695,180.6998910995,748.0515538276,510.9137972658,420.4045294637,88.1682350371,152.5266760169,171.05,435.769501385,274.3754060963,117.4933421546
2024-04-15,172.0669676756,183.62,130.2259907649,400.26,155.9446203488,180.7987476513,747.1857073428,499.2662801451,412.173807934,85.9836752027,152.6445103125,161.48,442.1492780105,269.722279192,116.8198320932
2024-04-16,168.7689095193,183.32,132.0511755534,396.92,155.6154338541,178.732645718,743.1749471891,498.7971856253,413.1104760016,87.3973903542,153.1354865438,157.11,465.2275990537,269.7918772439,115.8534915704
2024-04-17,167.393888294,181.28,127.4380383881,397.74,156.4932645066,178.0208785448,747.1857073428,493.2179550593,410.3801882302,84.0180712511,154.127258531,155.45,475.2487100829,271.1241828106,115.7949254781
2024-04-18,166.4373517895,179.22,125.0892431568,399.89,157.0718347094,179.1775002012,742.3887187719,500.8332554561,402.8370209203,84.6539431296,155.4396379973,149.93,489.3278749842,269.8117624017,115.6875543089
